Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),3A,FAO Scientific_name,accepted scientific name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mexico,Whiteleg shrimp,"Pacific, Eastern Central",PNV,Penaeus vannamei,Penaeus vannamei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,601,627,857,508,414,452,2747,887,8312,10835,8837
Mexico,Atlantic Spanish mackerel,"Atlantic, Western Central",SSM,Scomberomorus maculatus,Scomberomorus maculatus,NA,NA,NA,NA,2300,2700,2800,3300,3100,3000,4200,3900,4000,3800,2200,3500,4300,4900,5700,5200,4778,3500,5293,6656,5236,4794,3380,4414,5138,5751,5908,5908,7799,5922,5777,5789,6170,6461,5246,7242,8194,8360,9181,10066,8300,7673,11049,7389,7381,8382,5717,5320,6123,5242,6895,6450,5735,5424,6870,4543,6001,5627,3321,6159,8344,7750
Mexico,Snooks(=Robalos) nei,"Atlantic, Western Central",ROB,Centropomus spp,Centropomus,NA,NA,NA,NA,3300,3700,5100,3400,2000,3100,2200,2100,4000,200,200,200,200,200,300,400,500,600,500,600,614,549,609,467,507,2439,2231,2829,3919,923,945,697,482,508,729,650,680,600,844,836,852,1124,1313,1140,1017,1125,979,1360,913,2131,1845,4136,4319,4332,4093,3854,4279,4219,6080,5790,5501,7621
Mexico,"Snappers, jobfishes nei","Pacific, Eastern Central",SNX,Lutjanidae,Lutjanidae,NA,NA,NA,NA,1200,1300,1600,1300,600,1000,500,500,NA,600,1300,1600,1500,1300,1600,1300,1100,1300,900,900,705,911,644,678,794,988,1319,5994,2682,1828,1427,1319,2017,1690,1726,1794,1921,2524,2328,1899,1645,1260,1463,1154,1178,1116,1463,1581,1537,584,531,2122,2216,2775,2393,2111,2368,2283,2915,3544,5142,6035
Mexico,Sea catfishes nei,"Atlantic, Western Central",CAX,Ariidae,Ariidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,300,300,600,700,900,400,1000,1200,1500,1817,1441,948,1064,1711,1841,1093,967,838,2194,1345,1067,568,345,469,343,5325,5524,4742,4129,4365,5038,5085,5902,6270,5333,6008,6308,5829,1538,2197,4998,5219,4289,3901,3681,3232,2420,4400,5322,4625,5946
Mexico,Flatfishes nei,"Pacific, Eastern Central",FLX,Pleuronectiformes,Pleuronectiformes,NA,NA,NA,NA,NA,600,300,300,100,100,100,200,200,200,200,300,400,400,300,400,200,400,300,200,208,285,375,891,1192,1036,1013,1608,1034,640,545,870,902,1385,1621,2616,2814,3256,2202,1973,1192,1980,2342,2540,1165,2071,2568,1664,1573,1907,2068,2033,2123,2785,2814,2950,3384,2845,3123,4174,5252,5653
Mexico,[Paralabrax spp],"Pacific, Eastern Central",XBX,Paralabrax spp,Paralabrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4132,4314,4457,4596,4735,4893,5315,5878,5317,5520,5308
Mexico,Sea catfishes nei,"Pacific, Eastern Central",CAX,Ariidae,Ariidae,NA,NA,NA,NA,500,500,500,400,400,400,300,300,NA,200,300,200,200,300,200,200,200,300,100,100,98,52,78,0,714,402,133,466,404,446,284,535,202,656,437,179,1177,1221,1048,1023,1079,1234,1101,1338,1755,1603,1377,1772,1445,432,617,3017,3151,2881,2724,2804,2660,1912,3037,3585,4450,5132
Mexico,Cupped oysters nei,"Pacific, Eastern Central",OYC,Crassostrea spp,Crassostrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,2800,1000,600,800,1300,1700,1400,500,700,607,782,1274,2367,1740,2495,2606,4244,4509,3038,1797,4205,3923,4390,4092,4468,2051,1725,1667,2033,615,1801,1354,1903,1276,2489,1828,2234,2218,1790,1721,1505,1571,2209,1090,1029,2157,40244,4434,2096,3568,4963
Mexico,White mullet,"Atlantic, Western Central",MGU,Mugil curema,Mugil curema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3152,3291,4231,3660,3018,3501,3342,3000,3148,3538,4462
Mexico,Gastropods nei,"Atlantic, Western Central",GAS,Gastropoda,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,813,1177,760,1350,1961,2647,1603,2600,3817,1768,4010,2391,1524,1709,1648,2518,2833,1333,3061,3735,2430,4724,2317,4904,3060,7020,8070,8529,6107,6828,6554,6184,6543,5917,2908,2255,4465,3178,5997,4439,3263,4442
Mexico,Flathead grey mullet,"Atlantic, Western Central",MUF,Mugil cephalus,Mugil cephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,2000,1800,2200,1500,1100,1000,1100,700,1200,1400,1100,1128,1772,1451,1679,2097,2048,3955,2893,2508,4570,5817,4234,5250,6827,6365,7827,7479,6380,6573,6295,6016,7636,7882,7128,4299,4872,5190,4838,3545,1179,1685,3807,3976,3002,3201,2712,2558,2808,3492,2777,3534,4306
Mexico,"Grunts, sweetlips nei","Pacific, Eastern Central",GRX,Haemulidae (=Pomadasyidae),Haemulidae (=Pomadasyidae),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,0,0,0,100,100,100,70,177,188,183,184,309,195,1739,170,247,277,315,204,267,274,251,1275,1322,1135,1108,1169,604,484,868,1276,375,471,506,634,227,252,2570,2683,3278,2286,2295,2338,1584,1537,2687,3628,4245
Mexico,Northern red snapper,"Atlantic, Western Central",SNR,Lutjanus campechanus,Lutjanus campechanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,2000,2800,2300,2112,1937,1498,1885,1845,1759,1238,1422,1971,2578,3448,3303,3901,4639,3663,3296,5160,4999,6741,7198,4903,4714,4555,4219,3392,3445,2726,2717,2566,1003,912,3195,3337,2893,2574,2251,1055,1109,3227,3078,3369,4211
Mexico,Sea urchins nei,"Pacific, Eastern Central",URC,Strongylocentrotus spp,Strongylocentrotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,1627,1774,2046,2598,3215,2964,3206,4092,3670,4206
Mexico,Tropical spiny lobsters nei,"Pacific, Eastern Central",SLV,Panulirus spp,Panulirus,NA,NA,NA,NA,1500,1600,1300,1400,1300,800,800,1200,1200,1400,1100,1100,1200,1700,1100,1200,1400,1700,1500,1500,1369,1371,1461,1331,1302,1448,1841,2172,1897,1355,1364,1126,1413,1432,1289,1475,1700,1453,1408,1136,1294,1421,1799,1708,1599,1328,2052,1727,1923,2044,1757,1746,1823,1601,2056,1816,2890,2990,2494,2601,3681,3749
Mexico,Penaeus shrimps nei,"Atlantic, Western Central",PEN,Penaeus spp,Penaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200,20300,21000,21800,23100,21300,25900,28200,30500,26700,29161,24599,17827,19203,26110,27838,27610,30279,23485,23105,25150,25476,24318,24304,22654,24076,23847,29284,22715,28058,22709,23435,21450,21984,23170,20155,21288,21847,18533,29650,23924,18851,19684,14456,12748,11887,9216,10426,9019,3853,4269,3563
Mexico,Snooks(=Robalos) nei,"Pacific, Eastern Central",ROB,Centropomus spp,Centropomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,800,800,600,500,500,400,600,400,300,229,261,383,310,320,532,447,995,1560,873,917,706,545,729,807,539,450,603,481,757,1026,563,587,684,752,996,809,862,686,1351,1169,1409,1472,1644,1533,1422,1568,998,1599,2202,3287,3177
Mexico,Pacific bluefin tuna,"Pacific, Eastern Central",PBF,Thunnus orientalis,Thunnus orientalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2000,2000,2000,224,2242,2281,3006,880,210,548,1207,573,214,646,1001,91,55,450,60,50,10,23,20,60,83,3700,370,34,2370,3030,860,1326,1221,8656,4385,9336,4326,3443,3065,7677,2731,6642,3154,4868,3082
Mexico,Atlantic bonito,"Atlantic, Western Central",BON,Sarda sarda,Sarda sarda,NA,NA,NA,NA,NA,0,0,0,0,0,0,100,500,400,0,0,0,0,0,100,100,200,279,198,437,446,237,81,59,174,273,408,396,567,744,212,241,391,356,338,215,200,657,779,674,1143,1279,2040,2194,2314,1721,1506,1401,1509,1500,1251,1306,1188,1113,1469,1294,1391,1447,1534,1994,2915
Mexico,Jumbo flying squid,"Pacific, Eastern Central",GIS,Dosidicus gigas,Dosidicus gigas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,200,100,0,200,100,100,200,100,90,365,897,658,1635,4522,19068,9726,264,89,364,177,269,225,885,7380,5630,5846,8549,3043,1800,39657,107967,120877,26611,57985,56153,73741,115896,97332,87228,53437,65611,57476,84437,57894,42893,34844,23157,11132,9977,2866
Mexico,Penaeus shrimps nei,"Pacific, Eastern Central",PEN,Penaeus spp,Penaeus,50500,51000,39500,39300,35800,43200,44800,43700,50200,60300,66800,72300,70600,70000,48800,38800,44800,48300,35500,33400,43200,43300,44400,46000,44925,44146,29417,27600,41225,46060,49846,41731,55172,53790,50964,49088,48854,59292,50046,49728,34081,36185,35174,40280,41134,46599,44114,49083,43416,46336,40309,35662,36100,48398,39052,32261,33687,38773,28256,27814,27023,17154,14072,4329,1351,2763
Mexico,"Grunts, sweetlips nei","Atlantic, Western Central",GRX,Haemulidae (=Pomadasyidae),Haemulidae (=Pomadasyidae),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,300,100,200,100,200,300,400,200,400,517,656,582,575,505,0,400,574,1,13,23,25,8,15,13,5,6737,6989,6000,5224,5512,5032,5901,9645,6076,5039,3594,3715,3011,1670,1852,1030,1075,1032,1095,1159,1162,1194,733,1988,2043,2594
Mexico,"Groupers, seabasses nei","Pacific, Eastern Central",BSX,Serranidae,Serranidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,200,100,100,200,400,300,200,300,200,2700,3081,2668,2079,2672,2341,0,0,0,0,0,5280,473,834,763,518,690,727,691,735,1928,1414,2588,5254,7126,6158,6800,5306,4037,5115,2599,2513,1569,1639,2358,2532,1672,1154,457,184,1295,1874,2562
