Country (Country),FAO area,id,Fishing area (FAO major fishing area),ISO3,3A,ISSCAAP,ISSCAAP species group,taxgroup,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Thailand,Pac-WC,Short neck clams nei,"Pacific, Western Central",THA,NCL,56,"Clams, cockles, arkshells",bivalves-gastropods,,,,,,,,,,,,,,,,,,,,,5800,6400,14100,18000,13800,14495,23300,17360,10654,21098,35131,62220,37859,28506,50506,82731,96430,129078,107163,85747,84458,59590,66439,39834,27960,20060,34560,24227,43457,42612,25964,33736,31737,50282,28646,18079,22097,13205,14134,15738,18832,12594,8713,12367,12344,8522
Thailand,Ind-E,Torpedo scad,"Indian Ocean, Eastern",THA,HAS,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,0,0,0,0,200,608,1232,811,624,2120,525,694,1852,3546,5102,3196,1738,4668,4972,8428,8799,11026,4517,4716,14143,7347,14457,16038,16207,14743,13549,15356,16511,9837,10036,19103,15147,12169,11657,12721,7413,11616,8701,7227,7622,7955
Thailand,Pac-WC,Metapenaeus shrimps nei,"Pacific, Western Central",THA,MET,45,"Shrimps, prawns",shrimps,,,,,,,,,,,,,,,,,,,,,9800,10800,10000,16000,13800,15040,1811,12792,13185,11306,12493,13863,14058,12503,10146,9535,8576,10275,8058,7533,6567,7475,6689,7209,7888,7673,8569,8357,7153,6806,10110,8504,7900,6895,8344,8409,8022,7173,6143,5940,7115,14054,10443,7183,6191,7270
Thailand,Pac-WC,Frigate and bullet tunas,"Pacific, Western Central",THA,FRZ,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,18060,26070,13305,20000,22500,33700,26800,26900,19250,18850,17000,17600,22700,18400,15400,18300,14600,18700,18700,16800,15600,6050,5650,5930,4790,5860,7170,7630,7000
Thailand,Pac-WC,Seerfishes nei,"Pacific, Western Central",THA,KGX,36,"Tunas, bonitos, billfishes",carangids-mackerels,,,,,,,,,,,,,,,,,,,,,2813,8670,2869,4455,4602,7824,7317,10808,8119,10120,9336,11207,8365,8177,9373,9683,12474,11307,13319,10395,9995,7549,8414,11085,9904,10660,9360,8875,9480,9826,8566,8684,10418,12712,19806,20828,18137,15501,6449,6964,8846,6560,6159,6167,6317,6049
Thailand,Ind-E,Blue swimming crab,"Indian Ocean, Eastern",THA,SCD,42,"Crabs, sea-spiders",crabs-lobsters,,,,,,,,,,,,,,300,300,300,400,400,700,400,400,500,500,500,100,252,184,2026,4279,3746,5032,5243,4086,3100,3746,3528,6312,5307,4970,5492,4366,4878,4470,6118,4930,5781,5696,5173,9397,7386,6652,7171,7467,9549,7411,9304,7972,7583,7417,8630,8574,10379,8723,6496,5169,5842
Thailand,Pac-WC,Torpedo scad,"Pacific, Western Central",THA,HAS,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,3900,4300,2100,3800,5100,5469,13752,25599,14385,6606,10580,3768,3987,18427,6115,5706,17392,17580,19907,19749,13884,12335,18067,18581,20809,9723,5217,4027,7981,7374,7433,3388,2557,9644,7041,2186,1838,2701,4260,3178,5275,5145,4992,6494,6150,5683
Thailand,Pac-WC,Jellyfishes nei,"Pacific, Western Central",THA,JEL,77,Miscellaneous aquatic invertebrates,other invertebrates,,,,,,,,,,,,,,,,,,,,,2500,2500,2700,66900,2400,4369,22738,82439,59708,51252,2056,11620,29237,147471,5892,6463,17089,13940,18352,15955,13995,55407,102179,9857,78308,16668,17956,22425,59165,84520,138636,46735,28947,8791,1528,3524,3659,7274,2264,3335,4594,4708,1875,2378,7692,5650
Thailand,Ind-E,Kawakawa,"Indian Ocean, Eastern",THA,KAW,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,145,436,414,680,489,1155,716,647,826,112,53,294,1225,448,742,1539,724,4552,2390,2392,4844,7637,8380,7501,6089,9051,7434,7003,6904,2566,6340,6232,4984,7089,7097,9764,9011,7028,7519,7832,6709,9997,5881,4710,5610,5633
Thailand,Pac-WC,Largehead hairtail,"Pacific, Western Central",THA,LHT,34,Miscellaneous demersal fishes,other marine fish,,,,,,,,,,,,,,,,,,,,,2900,3200,3400,4700,5200,5908,6178,7970,7296,5801,5392,5931,4620,2878,2856,2942,3727,4674,4257,3708,3666,2345,1741,2333,2812,4482,3361,4553,2486,6461,7342,8021,10154,9474,10037,8652,7234,7189,3287,3092,4521,7207,5261,5902,5636,5599
Thailand,Pac-WC,Monocle breams,"Pacific, Western Central",THA,MOB,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,4700,5200,5700,5700,4100,3024,3555,3111,159,446,439,211,5204,779,543,136,242,680,687,596,619,379,78,72,,77,98,344,644,54,94,46,62,45,16,8,6,57,0,47,1337,2649,1613,6521,7276,5131
Thailand,Pac-WC,Tonguefishes,"Pacific, Western Central",THA,TOX,31,"Flounders, halibuts, soles",pleuronectids,,,,,,,,,,,,,,,,,,,,,0,0,0,3600,3900,5296,5316,5907,6195,5284,5119,6638,6220,5369,4761,5430,6242,6300,6310,6646,5938,4323,4516,4781,7319,8418,6849,6717,6805,6322,7476,4966,6638,5997,3944,3920,3561,2463,1989,2049,4159,4170,3499,7137,4578,4935
