Area,Sp.group,Name,Species,2009,2011,2013,2015,2017,U2009,U2011,U2013,U2015,U2017
34,32,"Other Cods, hakes, haddocks",,?,F,F,F,F,,L,,M,M
34,32,"32-Cods, hakes, haddocks",,,,,,,,,,,
34,33,Bigeye grunt,Brachydeuterus auritus,F,O,O,O,O,L,L,H,L,L
34,33,Bobo croaker,Pseudotolithus elongatus,O,F,F,F,F,L,L,H,L,L
34,33,Common dentex,Dentex dentex,F,F,F,?,?,M,M,H,L,H
34,33,"Croakers, drums nei",Sciaenidae,,F-O,F-O,F-O,F/O,,M,H,L,L
34,33,Mullets nei,Mugilidae,,F,F,F/O,F/O,,L,H,L,L
34,33,"Threadfins, tasselfishes nei",Polynemidae,,O,O,?,O,,M,,,
34,33,Other Miscellaneous coastal fishes,,,,,,,,,,,
34,33,33-Miscellaneous coastal fishes,,,,,,,,,,,
34,34,Largehead hairtail,Trichiurus lepturus,,F,F,F,F,,L,,L,H
34,34,Other Miscellaneous demersal fishes,,,,,,,,,,,
34,34,34-Miscellaneous demersal fishes,,,,,,,,,,,
34,35,Bonga shad,Ethmalosa fimbriata,F,O,O,F-O,F-O,L,H,M,M,M
34,35,European anchovy,Engraulis encrasicolus,F,F,F-O,F-F,F-F,L,L,H,M,L
34,35,European pilchard(=Sardine),Sardina pilchardus,U-F,N-O,U-F,U,U,L,L,M,L,L
34,35,Madeiran sardinella,Sardinella maderensis,F,F,F-O,F/O,O/F/U,L,L,H,M,M
34,35,Round sardinella,Sardinella aurita,O,O,O,F/O,O,L,L,M,M,H
34,35,"Other Herrings, sardines, anchovies",,F,F,F,F/O,F/O,M,M,,M,M
34,35,"35-Herrings, sardines, anchovies",,,,,,,,,,,
34,36,Atlantic bonito,Sarda sarda,,,,,,,,,,
34,36,Bigeye tuna,Thunnus obesus,,,,,,,,,,
34,36,Frigate and bullet tunas,"Auxis thazard, A. rochei",,,,,,,,,,
34,36,Little tunny(=Atl.black skipj),Euthynnus alletteratus,,,,,,,,,,
34,36,Skipjack tuna,Katsuwonus pelamis,,,,,,,,,,
34,36,Swordfish,Xiphias gladius,,,,,,,,,,
34,36,Tuna-like fishes nei,Scombroidei,,,,,,,,,,
34,36,Yellowfin tuna,Thunnus albacares,,,,,,,,,,
34,36,"Other Tunas, bonitos, billfishes",,,,,,,,,,,
34,36,"36-Tunas, bonitos, billfishes",,,,,,,,,,,
34,37,Atlantic horse mackerel,Trachurus trachurus,O,F,F,O,O,L,L,M,L,L
34,37,Barracudas nei,Sphyraena spp,F,F,F,F,F,M,M,H,H,H
34,37,Atlantic chub mackerel,Scomber japonicus,F,F,F,F,F,L,L,M,L,H
34,37,False scad,Caranx rhonchus,F-O,F-O,F-O,F/O,O/F,M,M,,H,H
34,37,Jack and horse mackerels nei,Trachurus spp,O,O,O,O,F,L,L,M,L,L
34,37,Other Miscellaneous pelagic fishes,,,,,,,,,,,
34,37,37-Miscellaneous pelagic fishes,,,,,,,,,,,
34,38,"38-Sharks, rays, chimaeras",,,F,,,,,L,,,
34,39,39-Marine fishes not identified,,,,,,,,,,,
34,43,European lobster,Homarus gammarus,,,,,,,,,,
34,43,Norway lobster,Nephrops norvegicus,,,,,,,,,,
34,43,Palinurid spiny lobsters nei,Palinurus spp,O,O,O,O,O,H,H,H,H,L
