Country (Country),FAO area,id,Fishing area (FAO major fishing area),ISO3,3A,ISSCAAP,ISSCAAP species group,taxgroup,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Malaysia,Pac-WC,Emperors(=Scavengers) nei,"Pacific, Western Central",MYS,EMP,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,10,45,98,53,55,,,,,,,,,,,,,,,,,,322,,,,521,1024,1219,1159,1342,1482,2139,1705
Malaysia,Ind-E,Emperors(=Scavengers) nei,"Indian Ocean, Eastern",MYS,EMP,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,82,136,166,174,176,89,60,61
Malaysia,Pac-WC,False trevally,"Pacific, Western Central",MYS,TRF,37,Miscellaneous pelagic fishes,other marine percoidids,500,500,300,200,200,200,200,200,300,300,300,300,500,500,500,400,1100,1300,1100,500,200,200,300,400,169,974,433,364,817,1503,514,353,200,144,190,114,141,150,250,598,116,476,921,580,531,393,384,350,363,589,404,437,362,515,279,164,29,207,361,581,302,408,424,571,602,447
Malaysia,Ind-E,False trevally,"Indian Ocean, Eastern",MYS,TRF,37,Miscellaneous pelagic fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,251,207,1202,112,25,3,211,212,92,18,2,1,0,,,,,,3,,,,,,0
Malaysia,Ind-E,Flatfishes nei,"Indian Ocean, Eastern",MYS,FLX,31,"Flounders, halibuts, soles",pleuronectids,0,0,0,0,,,,,,,,,0,100,100,200,300,300,400,300,380,380,420,470,470,470,470,47,235,248,163,181,368,262,392,452,501,533,272,278,346,287,284,332,281,316,538,518,377,378,342,485,394,332,343,557,1055,908,1171,1958,1757,1455,1639,1583,2719,2947
Malaysia,Pac-WC,Flatfishes nei,"Pacific, Western Central",MYS,FLX,31,"Flounders, halibuts, soles",pleuronectids,0,0,0,0,,,,,0,0,0,0,0,100,200,300,300,400,400,300,420,420,480,530,530,530,530,53,265,152,137,227,553,571,729,708,775,467,661,700,1433,1135,1343,1389,1581,1699,1695,1675,2180,2648,1299,1227,1198,1272,1389,1200,1375,1149,1112,1005,1225,1204,1243,1292,1305,1210
Malaysia,Ind-E,Flatheads nei,"Indian Ocean, Eastern",MYS,FLH,33,Miscellaneous coastal fishes,other scorpaenids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,
Malaysia,Pac-WC,Flatheads nei,"Pacific, Western Central",MYS,FLH,33,Miscellaneous coastal fishes,other scorpaenids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,
Malaysia,Pac-WC,Frigate and bullet tunas,"Pacific, Western Central",MYS,FRZ,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3505,3378,2158,1798,1382,1388
Malaysia,Ind-E,Frigate and bullet tunas,"Indian Ocean, Eastern",MYS,FRZ,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,83,1,148,429,339,921,272
Malaysia,Pac-WC,Fusiliers nei,"Pacific, Western Central",MYS,CJX,33,Miscellaneous coastal fishes,forage fish,,,,,,,,,,,,,,,,,,,,,90,90,90,90,212,139,109,82,279,140,259,884,562,877,506,499,717,237,580,922,1303,1312,1751,1877,1547,1543,1646,1936,1312,1323,961,973,846,694,763,1265,893,970,1140,742,911,552,520,694,476,2102
Malaysia,Ind-E,Fusiliers nei,"Indian Ocean, Eastern",MYS,CJX,33,Miscellaneous coastal fishes,forage fish,,,,,,,,,,,,,,,,,,,,,10,10,10,10,24,16,12,9,31,22,39,75,31,126,35,81,135,19,35,11,5,6,51,5,23,57,35,23,5,1,19,14,1,64,39,19,11,15,23,62,32,22,70,20,24,28
Malaysia,Ind-E,Goatfishes,"Indian Ocean, Eastern",MYS,GOX,33,Miscellaneous coastal fishes,other marine percoidids,0,0,0,0,,,,,,,,,,,0,0,200,400,400,300,290,190,190,320,843,946,1138,1261,983,549,584,343,322,365,394,774,801,1323,1345,2570,2633,2148,2523,1958,2085,1407,966,1227,343,2059,5021,6488,6413,6360,7285,8032,8528,9383,9091,8912,7015,8022,9099,10274,10631,11022
Malaysia,Pac-WC,Goatfishes,"Pacific, Western Central",MYS,GOX,33,Miscellaneous coastal fishes,other marine percoidids,0,0,0,0,,,,,,,,,,,100,100,400,900,700,500,610,410,410,680,1762,1980,2381,2636,2055,1216,708,641,692,1149,1158,530,1421,3282,5902,2047,2739,2110,2364,3429,5104,8194,7141,9075,7307,6547,5824,6472,7119,8190,10013,9373,9336,8497,9573,8239,7472,6902,8412,8551,7438,7990
Malaysia,Ind-E,Greasy grouper,"Indian Ocean, Eastern",MYS,EPT,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,90,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Pac-WC,Groupers nei,"Pacific, Western Central",MYS,GPX,33,Miscellaneous coastal fishes,other marine percoidids,500,200,200,200,200,200,200,200,200,200,500,500,700,700,800,800,1000,1200,1000,900,960,1000,1100,1000,995,1128,1112,1258,1402,1283,1573,2332,1821,1680,1419,1423,1497,877,4298,2547,2408,5546,6772,5710,5538,5523,6741,7470,9114,10882,10683,9320,7556,7356,8188,6551,6683,6376,6543,7347,7993,8043,10367,10064,9295,10070
Malaysia,Ind-E,Groupers nei,"Indian Ocean, Eastern",MYS,GPX,33,Miscellaneous coastal fishes,other marine percoidids,500,300,200,200,200,200,200,200,300,300,500,500,800,800,900,900,1100,1300,1100,900,1040,1100,1200,1100,1088,1232,1215,1375,1533,3394,1500,1430,1959,2061,1982,1888,2174,2101,2811,1829,1996,2154,2391,2166,1671,1513,1533,1654,1487,1347,1491,1156,1281,1093,1145,1000,1340,1614,1361,1440,1515,1916,1475,1898,1001,1318
Malaysia,Pac-WC,"Grunts, sweetlips nei","Pacific, Western Central",MYS,GRX,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,439,405,383,436,522,603,756,944,1368,642,911,915,730,978,1093,1047,1057,1548,1468,1336,1002,1114,1130,827,1089,890,1423,1227,1536,1160,1307,1433,1323,1562
Malaysia,Ind-E,"Grunts, sweetlips nei","Indian Ocean, Eastern",MYS,GRX,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,146,117,175,22,116,80,150,136,155,60,64,56,68,139,50,38,20,27,21,9,39,81,72,64,64,25,35,46,28,63,33,116,71,114,103,26
Malaysia,Ind-E,Indian mackerels nei,"Indian Ocean, Eastern",MYS,RAX,37,Miscellaneous pelagic fishes,carangids-mackerels,9300,10000,10000,9300,8700,8700,8700,8700,9300,9300,11300,11700,17300,13300,11100,12700,17200,38800,63700,41600,23250,25980,11730,20990,16728,13934,12696,19518,26479,34092,51739,44998,58807,68121,84415,75983,43377,56193,40059,42986,55285,35380,46066,36104,63771,101001,73780,66586,79446,84665,65733,65971,55527,87995,105156,97435,86010,132771,139597,157450,154194,154222,155557,157049,157181,162990
Malaysia,Pac-WC,Indian mackerels nei,"Pacific, Western Central",MYS,RAX,37,Miscellaneous pelagic fishes,carangids-mackerels,4700,5000,5000,4700,4300,4300,4300,4300,4700,4700,5700,5800,8700,6700,5500,6300,8600,19400,31900,20800,11650,13020,5870,10510,8381,6982,6361,9779,13268,19603,23878,36244,17057,30693,21328,30704,15699,14421,18049,15125,12636,27623,31184,31871,29875,25169,21584,20215,22626,26700,32322,33498,32383,36863,36476,33837,31465,23916,30724,28040,32031,29368,31633,33893,24195,27098
Malaysia,Ind-E,Indian pellona,"Indian Ocean, Eastern",MYS,PEO,24,Shads,forage fish,,,,,,,,,,,,,,,,,,,,,190,230,250,270,265,380,314,363,359,321,590,244,769,1165,1845,4628,4265,3520,4620,4432,4950,4802,5522,6225,7260,6091,11227,10919,6113,4448,7069,6884,7236,5569,5569,9514,12546,13131,9544,9753,7229,6399,9016,10883,12501,15341
Malaysia,Pac-WC,Indian pellona,"Pacific, Western Central",MYS,PEO,24,Shads,forage fish,,,,,,,,,,,,,,,,,,,,,810,970,1050,1130,1111,1588,1315,1518,1500,2851,1755,1321,1466,1601,760,708,1002,1076,1064,1622,1449,2861,2648,2187,3526,3868,4058,2455,3808,4740,5636,5780,4822,4872,5948,6282,6632,7484,6161,2548,3027,3677,4687,6737,6996,4321
